Source;Post;ID ath;Data;type;like;comm;reposts;views
-114131315;-114131315;-114131315;1622636743;1;2;0;1;45
-122438176;-122438176;-122438176;1624442517;1;24;0;6;1915
-122630155;-122630155;-122630155;1623269700;1;1;0;0;21
-123443003;-123443003;-123443003;1624041840;1;20;0;1;2307
-124183821;-124183821;-124183821;1622653346;1;1;0;1;73
-124183821;-124183821;-124183821;1623080823;1;2;0;0;85
-124404085;-124404085;-124404085;1622473723;1;0;0;0;8
-124551326;-124551326;-124551326;1622985912;1;0;0;0;8
-125282177;-125282177;-125282177;1623544213;1;0;0;0;10
-125414103;-125414103;-125414103;1622754900;1;3;0;1;1820
-125414103;-125414103;-125414103;1623372632;1;3;0;3;1958
-125718195;-125718195;-125718195;1624963127;1;1;0;0;44
-141525942;-141525942;-141525942;1622552748;1;0;0;0;4
-123916919;-123916919;-123916919;1622467478;1;10;10;3;728
-126562133;-126562133;-126562133;1622635140;1;44;1;6;3863
-126562133;-126562133;-126562133;1623484740;1;234;28;43;9513
-126712296;-126712296;-126712296;1622559599;1;1;0;5;389
-126712296;-126712296;-126712296;1622658072;1;0;0;0;515
-126765995;-126765995;-126765995;1622718075;1;0;0;0;6
-126964467;-126964467;-126964467;1624342339;1;139;2;24;6031
-130126972;-130126972;-130126972;1624655143;1;156;0;21;6908
-127632620;-127632620;-127632620;1622567117;1;4;0;0;1162
-129147753;-129147753;-129147753;1623862860;1;5;1;1;195
-129237582;-129237582;-129237582;1623853757;1;36;0;1;847
-130126972;-130126972;-130126972;1622645880;1;42;1;4;2820
-130126972;-130126972;-130126972;1623484740;1;168;2;38;7096
-133717012;-133717012;-133717012;1623333267;1;2;0;3;4312
-133717012;-133717012;-133717012;1622984824;1;6;0;17;6800
-130209924;-130209924;-130209924;1623507496;1;0;0;0;79
-130209924;-130209924;-130209924;1624717098;1;0;0;0;81
-130209924;-130209924;-130209924;1623508156;1;0;0;0;58
-13022894;-13022894;-13022894;1623747431;1;83;11;3;1449
-130576395;-130576395;-130576395;1623134919;1;1;0;1;43
-13070075;-13070075;-13070075;1623490959;1;0;0;0;937
-131351301;-131351301;-131351301;1623960428;1;10;5;4;5120
-131424561;-131424561;-131424561;1624606262;1;5;0;0;323
-132054874;-132054874;-132054874;1624540920;1;1;0;1;85
18054;-132250666;54154659;1623013543;0,5;2;0;0;0
-132503373;-132503373;-132503373;1623675602;1;47;1;3;2350
-132521821;-132521821;-132521821;1624470720;1;0;1;3;732
-132676274;-132676274;-132676274;1622572201;1;86;7;17;4036
-137625049;-137625049;-137625049;1623897360;1;24;0;13;836
-133341028;-133341028;-133341028;1623741345;1;84;213;10;3697
13437;-133341028;850971;1623760332;0,5;1;0;0;0
13437;-133341028;8666049;1623751355;0,5;2;0;0;0
13437;-133341028;233792811;1623749554;0,5;0;0;0;0
-133474252;-133474252;-133474252;1623851040;1;19;26;12;3893
-133474252;-133474252;-133474252;1624524970;1;17;1;5;2220
-133716657;-133716657;-133716657;1622990795;1;8;2;4;1957
-133716657;-133716657;-133716657;1623486300;1;19;0;2;2382
-135454514;-135454514;-135454514;1622730965;1;86;6;21;536902
-135454514;-135454514;-135454514;1622655475;1;284;34;71;2293874
-133717012;-133717012;-133717012;1622654650;1;1;2;7;4781
-133717012;-133717012;-133717012;1624783743;1;5;1;9;5386
-133745337;-133745337;-133745337;1623256172;1;0;0;0;21
-134128227;-134128227;-134128227;1623585608;1;15;1;0;993
-134176539;-134176539;-134176539;1623767247;1;0;0;0;33
-135304832;-135304832;-135304832;1622896868;1;1;0;0;315
-138640980;-138640980;-138640980;1624042949;1;0;0;1;69
-178613088;-178613088;-178613088;1624125220;1;585;8;57;16326
-135903864;-135903864;-135903864;1623034892;1;0;0;0;9
-136227663;-136227663;-136227663;1623999608;1;0;0;0;120
-136287827;-136287827;-136287827;1622713876;1;6;0;1;159
-137083192;-137083192;-137083192;1623668322;1;2;0;0;47
-137132993;-137132993;-137132993;1623935100;1;19;0;0;4813
-137192121;-137192121;-137192121;1624197189;1;10;0;7;425
-137366522;-137366522;-137366522;1623150981;1;4;0;1;189
-137379242;-137379242;-137379242;1623395384;1;37;1;0;1351
-137410159;-137410159;-137410159;1623507853;1;0;0;0;29
-137461649;-137461649;-137461649;1624258809;1;98;3;12;1572
-137520296;-137520296;-137520296;1622662719;1;10;0;6;736
-137625049;-137625049;-137625049;1623118860;1;24;0;8;900
-137625049;-137625049;-137625049;1622946900;1;37;0;17;1227
-137625049;-137625049;-137625049;1622858728;1;39;2;17;1169
-137625049;-137625049;-137625049;1622857997;1;47;0;5;1538
-137625049;-137625049;-137625049;1623639360;1;24;0;13;905
-137625049;-137625049;-137625049;1623463698;1;21;0;15;921
-137625049;-137625049;-137625049;1623293760;1;26;0;12;845
-137625049;-137625049;-137625049;1624070040;1;31;0;12;1118
-137625049;-137625049;-137625049;1624934220;1;26;0;10;686
-137625049;-137625049;-137625049;1624784954;1;9;0;4;403
-138342908;-138342908;-138342908;1623487269;1;8;0;1;103
-13847272;-13847272;-13847272;1623567601;1;2;0;0;210
-13847272;-13847272;-13847272;1624201200;1;0;0;0;155
-139632889;-139632889;-139632889;1624306516;1;5;9;0;22
-139632889;-139632889;-139632889;1622555262;1;5;0;1;20
-138926636;-138926636;-138926636;1622915880;1;289;7;149;24010
-138926636;-138926636;-138926636;1623480610;1;1148;18;171;29045
-138926636;-138926636;-138926636;1623913455;1;48;0;5;3359
-138926636;-138926636;-138926636;1624975080;1;87;3;9;3735
-138926636;-138926636;-138926636;1624874280;1;409;25;91;25470
-1391819;-1391819;-1391819;1623001500;1;72;6;25;4715
-143121648;-143121648;-143121648;1624530029;1;0;0;0;270
